TSDone,DocNum,ItemCode,BatchNum,Project,QCScore,Itemcount,Temperature,Brix,PoundsPressure,Color,Discoloration,InsectPresenceFrass,Softness,Bruising,Decay,DehydrationShrivel,AbnormalSoftness,UnhealedCutsSplits,Undersized,Oversized,InsectDamage,Scarring,DocType
 01/24/2017,48781,MXT2,479432,SJD,81,150,53,0,0.00,0,0,0,22,0,0,0,0,0,0,0,11,0,IM
 01/24/2017,48781,EF24,479436,SJD,77,72,50,0,0.00,0,0,0,8,0,0,0,0,0,0,0,0,50,IM
 01/24/2017,48781,MXT2,479433,SJD,97,150,56,0,0.00,0,0,0,8,0,0,0,0,0,0,0,0,0,IM
 01/24/2017,48781,MXW,479426,SJD,86,150,54,0,0.00,0,0,0,11,0,0,0,0,0,0,0,0,0,IM
 01/24/2017,48781,EF18,479434,SJD,85,54,50,0,0.00,0,0,0,6,0,0,0,0,0,0,0,0,20,IM
 01/24/2017,48781,MXF,479425,SJD,88,150,54,0,0.00,0,0,0,6,0,0,0,0,0,0,0,0,0,IM
 01/24/2017,48781,MXT2,479423,SJD,79,150,53,0,0.00,0,0,0,25,0,0,0,0,0,0,0,17,0,IM
 01/24/2017,48781,EF18,479435,SJD,80,150,50,0,0.00,0,0,0,25,0,0,0,0,0,0,0,0,70,IM
 01/24/2017,48781,EF24,479437,SJD,93,150,53,0,0.00,0,9,0,0,0,0,0,0,0,0,0,0,27,IM
 01/24/2017,48783,ACS,479609,TEP,60,150,54,0,0.00,0,75,0,0,0,0,0,0,0,0,0,0,30,IM
 01/24/2017,48783,SUF,479588,TEP,83,150,49,6,0.00,6,0,0,16,0,0,0,0,0,0,0,12,0,IM
 01/24/2017,48783,KAM,479578,TEP,72,150,54,0,0.00,0,40,0,0,0,0,0,0,0,0,0,0,30,IM
 01/24/2017,48783,MXF,479518,BCN,87,150,50,0,0.00,0,0,0,10,0,0,0,0,0,0,0,0,0,IM
 01/24/2017,48783,SUF,479593,BCN,84,150,49,8,0.00,5,0,0,13,0,0,0,0,0,0,0,9,0,IM
